NaN,0.18313,NaN,NaN,NaN,0.059536,0.16681,0.20092,NaN,0.13048,0.22582,0.3019,NaN,NaN,NaN,0.45672,0.51215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0.30056,0.30056,NaN,NaN,NaN,NaN,NaN,0.16028,0.13762,0.034626,0.20877,0.38013,0.4704,NaN,0.4349,0.62739,0.54597,0.60058,0.32178,0.48223,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17778,0.13324,NaN,0.25945,0.43153,0.56461,0.41587,NaN,0.53718,0.53132,0.44942,0.23811,0.3138,0.22227,0.41852,0.37255,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.091633,0.065393,0.039932,0.20915,0.36407,NaN,0.39023,0.49572,0.48584,0.37814,NaN,0.094039,0.23815,0.26115,0.41852,0.37255,NaN,0
0.40188,NaN,0.26953,NaN,NaN,NaN,NaN,0.052017,NaN,0.12343,NaN,0.21456,NaN,0.32594,0.54147,0.46238,0.46046,0.10796,0.12358,NaN,NaN,NaN,NaN,NaN,0
0.40188,NaN,0.1777,NaN,NaN,NaN,NaN,3.7007e-17,NaN,NaN,0.1297,0.29837,0.18414,NaN,0.42971,0.53067,0.53639,NaN,NaN,0.39369,0.3919,0.26463,NaN,NaN,0
NaN,NaN,0.26953,NaN,NaN,NaN,NaN,0.050961,NaN,NaN,NaN,NaN,0.40695,0.31668,0.37517,0.52117,0.69673,0.60635,0.50736,0.43797,0.33478,0.18647,0.18002,0.14142,0
1.1102e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.059368,0.059368,0.008394,NaN,0.4306,0.41206,0.45172,0.62525,0.69848,0.54197,0.35409,NaN,NaN,0.11604,0.093319,0.14142,0
NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32359,0.44758,0.48983,0.54746,0.67352,0.71113,0.48407,0.34559,0.27539,NaN,NaN,NaN,NaN,0
0.34607,NaN,2.7756e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27815,NaN,NaN,NaN,NaN,0
0.34607,0.204,3.7007e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
