NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.53131,0.47278,0.59959,NaN,0.56248,0.49469,0.41764,0.31215,0.34655,0.48709,NaN,NaN,NaN,0.23724,0.15553,0.37598,0.35694,0.66724,0.4953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.67814,NaN,0.52915,0.45809,0.35406,NaN,NaN,NaN,0.37801,0.37652,0.28765,0.13166,NaN,0.22577,0.33842,NaN,NaN,0.42855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78569,0.71885,0.58502,0.4801,0.36354,0.32853,0.30326,NaN,NaN,NaN,NaN,NaN,0.29624,0.25163,0.25029,NaN,NaN,0.43255,0.51946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60521,0.45298,0.29971,0.25181,0.25712,0.30326,0.26891,0.26025,0.21964,0.49718,0.33125,0.31595,0.22769,0.28657,0.20964,0.20583,0.24521,0.25848,NaN,0.12609,0.13421,0.055989,NaN,0.067256,0.04887,0.14941,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4652,0.37995,0.35288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.36502,NaN,0.26165,0.13008,0.15397,0.24859,0.33149,0.33664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28193,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48748,0.40659,NaN,NaN,0.47151,0.46848,0.47314,NaN,NaN,0.21399,NaN,0.029578,NaN,NaN,NaN,NaN,NaN,NaN,0.24817,0.24817,0.18518,0.22059,0.16347,0.16795,NaN,NaN,NaN,0.34133,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44867,0.44867,NaN,NaN,NaN,NaN,0.37719,0.18703,0.29481,0.26086,0.31964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.35568,0.35197,NaN,NaN,NaN,0.16795,0.11322,0.15169,0.34173,0.30795,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4124,0.4124,NaN,NaN,NaN,NaN,NaN,0.16411,0.23155,0.19809,0.33136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24186,0.22882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44599,NaN,NaN,NaN,NaN,NaN,0.29408,NaN,0.23639,NaN,NaN,0.2145,0.096294,NaN,NaN,NaN,NaN,NaN,NaN,0.20135,0.29794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49402,NaN,NaN,NaN,NaN,NaN,0.42347,0.40439,0.24744,0.26814,NaN,NaN,NaN,NaN,3.7007e-17,0.067914,0.075454,NaN,NaN,NaN,NaN,0.22809,0.27531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0.69463,NaN,0.5295,NaN,NaN,NaN,0.71614,NaN,0.4508,0.28526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23931,0.12692,0.18937,NaN,0.44867,0.48513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15308,NaN,NaN,0.36449,NaN,0.4262,0.41321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18937,0.23306,0.51097,0.57529,0.61095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0.36681,NaN,0.11506,0.095677,NaN,0.23368,NaN,0.36949,0.22277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7085,0.66016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.23949,NaN,NaN,0.22196,0.18924,0.095973,NaN,NaN,0.1699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.56351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.47414,NaN,NaN,0.2191,0.16966,NaN,NaN,0.089226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.31703,NaN,NaN,0.22969,0.19737,0.16291,0.018558,0.089226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.58069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.42417,0.34282,0.39724,0.13577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.76605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.27901,NaN,0.32278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.24746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.3293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
