NaN,NaN,0.2677,1.8121,NaN,NaN,NaN,-3.0262,NaN,-2.9062,-0.95906,-0.75299,NaN,NaN,2.4729,2.857,NaN,NaN,NaN,NaN,NaN,1.6026,NaN,1.6079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,2.3078,2.5881,2.3181,2.4594,2.6642,NaN,-0.37485,-0.37234,NaN,NaN,NaN,-2.7913,-2.5906,-1.6213,NaN,NaN,NaN,NaN,2.1276,1.7908,0.61022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1.6467,NaN,NaN,NaN,NaN,NaN,NaN,2.7943,NaN,NaN,0.53527,NaN,NaN,-0.16057,NaN,-2.1025,-2.244,NaN,-1.1791,NaN,NaN,NaN,2.7085,2.4643,1.8976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,-2.8131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5406,NaN,NaN,NaN,NaN,NaN,2.7101,2.4001,2.1167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,-1.7367,NaN,-0.80745,0.061568,NaN,NaN,NaN,NaN,NaN,NaN,-2.9407,-2.9322,3.1325,NaN,NaN,NaN,NaN,2.7865,2.8146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-0.30055,NaN,NaN,NaN,-1.3345,-1.4688,-1.3329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.9048,-3.0812,2.996,NaN,NaN,NaN,NaN,-2.6782,-1.4668,-0.082441,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-0.5643,-1.5832,-1.6192,-1.1262,-1.2289,-1.915,-2.7753,NaN,NaN,NaN,NaN,NaN,NaN,2.9062,NaN,2.9491,-1.044,NaN,NaN,NaN,NaN,-0.25348,NaN,NaN,-0.93716,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,-2.179,NaN,-2.4394,NaN,-2.5786,NaN,NaN,NaN,NaN,NaN,NaN,-3.1332,NaN,0.37419,0.37419,NaN,1.1298,NaN,-0.05322,0.59528,1.1486,NaN,NaN,-0.02859,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,-2.4262,-2.4262,NaN,-2.7733,2.437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.29494,NaN,0.93986,0.63867,NaN,NaN,1.6451,1.8137,0.81011,0.47429,NaN,1.4814,NaN,0
NaN,NaN,NaN,NaN,-3.1023,NaN,NaN,NaN,2.1401,1.499,NaN,NaN,1.1017,2.0586,2.4268,NaN,NaN,NaN,0.70692,0.41515,0.93593,NaN,0.60285,0.40891,NaN,1.9922,NaN,NaN,NaN,NaN,NaN,1.4814,0
NaN,NaN,NaN,NaN,1.9636,NaN,NaN,NaN,1.1501,NaN,NaN,NaN,NaN,NaN,2.4268,-2.8022,-1.402,-0.13426,1.0971,NaN,NaN,NaN,NaN,NaN,NaN,1.9424,1.5498,NaN,NaN,2.1608,NaN,NaN,0
-1.3508,NaN,NaN,2.7274,-2.9635,NaN,NaN,NaN,0.41187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78502,-2.8201,-1.4536,-0.53219,NaN,NaN,1.3048,1.1256,0.50497,NaN,NaN,NaN,NaN,0
NaN,-0.58639,-1.413,-2.6005,NaN,NaN,NaN,NaN,NaN,0.16179,NaN,-0.49924,NaN,NaN,-1.1977,-1.5312,-0.51411,0.030223,0.55171,1.3832,-2.8201,-1.4536,-0.53219,0.10558,0.87982,NaN,0.92601,0.092453,0.094587,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3329,NaN,NaN,NaN,NaN,NaN,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1416,3.1416
