34890	4.5936	10.781	8.4971
35204	5.0437	12.328	8.7192
35241	3.7716	12.51	8.7453
35288	2.205	12.742	8.7785
35330	2.8843	12.949	8.8082
35471	5.6904	13.644	8.9079
35504	5.0144	13.807	8.9313
35637	2.5372	14.461	9.0253
36192	1.8213	17.206	9.2311
36422	0.011547	18.348	9.1554
36583	2.9873	19.148	9.1019
36642	0.33716	19.441	9.0933
36809	1.6131	20.27	9.1598
36941	4.5388	20.924	9.2226
36984	5.9345	21.137	9.243
37143	4.1048	21.925	9.3186
37368	0.64182	23.04	9.4255
37459	3.8704	23.491	9.4688
37569	5.3241	24.036	9.521
37577	0.60311	24.075	9.5248
37636	0.36728	24.368	9.5529
37686	3.9179	24.615	9.5766
37694	5.3245	24.655	9.5804
37698	6.0759	24.675	9.5823
37710	1.9757	24.735	9.588
37717	1.4589	24.769	9.5914
37744	6.0755	24.903	9.6042
37760	2.6384	24.983	9.6118
37772	4.9926	25.042	9.6175
37794	2.2476	25.151	9.6279
37810	5.2413	25.23	9.6356
37827	2.0164	25.315	9.6437
37844	4.7665	25.399	9.6518
37860	0.83344	25.478	9.6594
37894	1.4611	25.646	9.6755
37910	5.5781	25.726	9.6831
37927	4.4268	25.81	9.6912
37944	2.5866	25.894	9.6993
37960	6.2594	25.974	9.7069
38020	2.7697	26.271	9.7354
38284	0.46463	27.579	9.8609
38336	4.2211	27.836	9.8855
38357	1.9719	27.941	9.8955
38444	1.9144	28.372	9.9369
38469	5.0934	28.498	9.949
38486	0.96091	28.582	9.957
38536	4.4062	28.821	9.98
38602	3.35	29.243	10.02
38652	2.872	29.484	10.044
38690	4.276	29.674	10.062
38786	1.573	30.15	10.107
38803	5.8296	30.234	10.115
38827	3.5838	30.353	10.127
38869	0.31274	30.563	10.147
38886	3.4645	30.647	10.155
38911	0.58515	30.766	10.166
39250	4.4598	31.213	10.217
39312	2.1958	31.213	10.217
39461	2.125	31.213	10.217
39641	1.2003	31.213	10.217
39666	5.2858	31.213	10.217
39678	1.22	31.213	10.217
39767	4.3585	31.213	10.217
39769	4.7572	31.213	10.217
40104	1.9247	31.316	9.2706
40167	6.1818	31.293	8.9462
40196	4.712	31.276	8.8145
40279	6.0136	31.262	8.7336
40527	2.1928	31.263	8.7357
40646	4.2296	31.262	8.7355
40662	1.1513	31.259	8.7334
40735	5.7273	31.276	8.7457
40818	5.2774	30.959	8.5261
40913	2.514	30.544	8.3077
40935	0.23097	30.442	8.2642
40951	3.2394	30.368	8.2346
